agent,training_fraction,seeds,training_samples_mean,policy_utility_rate_mean,policy_utility_rate_std,policy_attack_block_rate_mean,policy_attack_block_rate_std,combined_utility_rate_mean,combined_utility_rate_std,combined_attack_block_rate_mean,combined_attack_block_rate_std,combined_utility_rate_or_mean,combined_utility_rate_or_std,combined_attack_block_rate_or_mean,combined_attack_block_rate_or_std,combined_utility_rate_and_mean,combined_utility_rate_and_std,combined_attack_block_rate_and_mean,combined_attack_block_rate_and_std,combined_utility_rate_xor_mean,combined_utility_rate_xor_std,combined_attack_block_rate_xor_mean,combined_attack_block_rate_xor_std,combined_utility_rate_intent_mean,combined_utility_rate_intent_std,combined_attack_block_rate_intent_mean,combined_attack_block_rate_intent_std,threshold_mean,threshold_std,training_utility_rate_mean,training_utility_rate_std,policy_utility_total_mean,policy_utility_allowed_mean,policy_utility_blocked_mean,policy_attack_total_mean,policy_attack_allowed_mean,policy_attack_blocked_mean,combined_utility_total_mean,combined_utility_allowed_mean,combined_utility_blocked_mean,combined_attack_total_mean,combined_attack_allowed_mean,combined_attack_blocked_mean,combined_utility_allowed_or_mean,combined_utility_blocked_or_mean,combined_attack_allowed_or_mean,combined_attack_blocked_or_mean,combined_utility_allowed_and_mean,combined_utility_blocked_and_mean,combined_attack_allowed_and_mean,combined_attack_blocked_and_mean,combined_utility_allowed_xor_mean,combined_utility_blocked_xor_mean,combined_attack_allowed_xor_mean,combined_attack_blocked_xor_mean,combined_utility_allowed_intent_mean,combined_utility_blocked_intent_mean,combined_attack_allowed_intent_mean,combined_attack_blocked_intent_mean
travel,0.1,3,1,64.58333333333333,2.946278254943948,81.13207547169812,0.0,64.58333333333333,2.946278254943948,81.13207547169812,0.0,64.58333333333333,2.946278254943948,81.13207547169812,0.0,64.58333333333333,2.946278254943948,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,10,6,53,10,43,16,10,6,53,10,43,10,6,10,43,10,6,10,43,0,0,0,0,0,0,0,0
travel,0.2,3,3,68.75,5.103103630798288,81.13207547169812,0.0,68.75,5.103103630798288,81.13207547169812,0.0,68.75,5.103103630798288,81.13207547169812,0.0,68.75,5.103103630798288,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,11,5,53,10,43,16,11,5,53,10,43,11,5,10,43,11,5,10,43,0,0,0,0,0,0,0,0
travel,0.3,3,4,72.91666666666667,2.946278254943948,81.13207547169812,0.0,72.91666666666667,2.946278254943948,81.13207547169812,0.0,72.91666666666667,2.946278254943948,81.13207547169812,0.0,72.91666666666667,2.946278254943948,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,12,4,53,10,43,16,12,4,53,10,43,12,4,10,43,12,4,10,43,0,0,0,0,0,0,0,0
travel,0.4,3,6,75.0,5.103103630798288,81.13207547169812,0.0,75.0,5.103103630798288,81.13207547169812,0.0,75.0,5.103103630798288,81.13207547169812,0.0,75.0,5.103103630798288,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,12,4,53,10,43,16,12,4,53,10,43,12,4,10,43,12,4,10,43,0,0,0,0,0,0,0,0
travel,0.5,3,8,77.08333333333333,2.946278254943948,81.13207547169812,0.0,77.08333333333333,2.946278254943948,81.13207547169812,0.0,77.08333333333333,2.946278254943948,81.13207547169812,0.0,77.08333333333333,2.946278254943948,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,12,4,53,10,43,16,12,4,53,10,43,12,4,10,43,12,4,10,43,0,0,0,0,0,0,0,0
travel,0.6,3,9,79.16666666666667,5.892556509887896,81.13207547169812,0.0,79.16666666666667,5.892556509887896,81.13207547169812,0.0,79.16666666666667,5.892556509887896,81.13207547169812,0.0,79.16666666666667,5.892556509887896,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,13,3,53,10,43,16,13,3,53,10,43,13,3,10,43,13,3,10,43,0,0,0,0,0,0,0,0
travel,0.7,3,11,87.5,5.103103630798288,81.13207547169812,0.0,87.5,5.103103630798288,81.13207547169812,0.0,87.5,5.103103630798288,81.13207547169812,0.0,87.5,5.103103630798288,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,14,2,53,10,43,16,14,2,53,10,43,14,2,10,43,14,2,10,43,0,0,0,0,0,0,0,0
travel,0.8,3,12,89.58333333333333,2.946278254943948,81.13207547169812,0.0,89.58333333333333,2.946278254943948,81.13207547169812,0.0,89.58333333333333,2.946278254943948,81.13207547169812,0.0,89.58333333333333,2.946278254943948,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,14,2,53,10,43,16,14,2,53,10,43,14,2,10,43,14,2,10,43,0,0,0,0,0,0,0,0
travel,0.9,3,14,91.66666666666667,2.946278254943948,81.13207547169812,0.0,91.66666666666667,2.946278254943948,81.13207547169812,0.0,91.66666666666667,2.946278254943948,81.13207547169812,0.0,91.66666666666667,2.946278254943948,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,15,1,53,10,43,16,15,1,53,10,43,15,1,10,43,15,1,10,43,0,0,0,0,0,0,0,0
travel,1.0,3,16,100.0,0.0,81.13207547169812,0.0,100.0,0.0,81.13207547169812,0.0,100.0,0.0,81.13207547169812,0.0,100.0,0.0,81.13207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16,0,53,10,43,16,16,0,53,10,43,16,0,10,43,16,0,10,43,0,0,0,0,0,0,0,0
workspace,0.1,3,2,54.166666666666664,3.4020690871988597,99.74554707379134,0.3598507792297964,54.166666666666664,3.4020690871988597,100.0,0.0,54.166666666666664,3.4020690871988597,100.0,0.0,54.166666666666664,3.4020690871988597,99.74554707379134,0.3598507792297964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,13,11,131,0,131,24,13,11,131,0,131,13,11,0,131,13,11,0,131,0,0,0,0,0,0,0,0
workspace,0.2,3,4,59.72222222222222,5.196746370519359,99.74554707379134,0.3598507792297964,59.72222222222222,5.196746370519359,100.0,0.0,59.72222222222222,5.196746370519359,100.0,0.0,59.72222222222222,5.196746370519359,99.74554707379134,0.3598507792297964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,14,10,131,0,131,24,14,10,131,0,131,14,10,0,131,14,10,0,131,0,0,0,0,0,0,0,0
workspace,0.3,3,7,65.27777777777779,7.081971546656645,99.23664122137404,0.6232798327692586,65.27777777777779,7.081971546656645,100.0,0.0,65.27777777777779,7.081971546656645,100.0,0.0,65.27777777777779,7.081971546656645,99.23664122137404,0.6232798327692586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,16,8,131,1,130,24,16,8,131,0,131,16,8,0,131,16,8,1,130,0,0,0,0,0,0,0,0
workspace,0.4,3,9,72.22222222222221,5.196746370519361,99.23664122137404,0.6232798327692586,72.22222222222221,5.196746370519361,100.0,0.0,72.22222222222221,5.196746370519361,100.0,0.0,72.22222222222221,5.196746370519361,99.23664122137404,0.6232798327692586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,17,7,131,1,130,24,17,7,131,0,131,17,7,0,131,17,7,1,130,0,0,0,0,0,0,0,0
workspace,0.5,3,12,83.33333333333333,5.892556509887896,98.98218829516539,0.3598507792297964,83.33333333333333,5.892556509887896,100.0,0.0,83.33333333333333,5.892556509887896,100.0,0.0,83.33333333333333,5.892556509887896,98.98218829516539,0.3598507792297964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,20,4,131,1,130,24,20,4,131,0,131,20,4,0,131,20,4,1,130,0,0,0,0,0,0,0,0
workspace,0.6,3,14,86.1111111111111,7.856742013183856,98.47328244274809,0.0,86.1111111111111,7.856742013183856,100.0,0.0,86.1111111111111,7.856742013183856,100.0,0.0,86.1111111111111,7.856742013183856,98.47328244274809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,21,3,131,2,129,24,21,3,131,0,131,21,3,0,131,21,3,2,129,0,0,0,0,0,0,0,0
workspace,0.7,3,16,88.88888888888887,7.081971546656652,98.47328244274809,0.0,88.88888888888887,7.081971546656652,100.0,0.0,88.88888888888887,7.081971546656652,100.0,0.0,88.88888888888887,7.081971546656652,98.47328244274809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,21,3,131,2,129,24,21,3,131,0,131,21,3,0,131,21,3,2,129,0,0,0,0,0,0,0,0
workspace,0.8,3,19,93.05555555555554,5.196746370519364,98.47328244274809,0.0,93.05555555555554,5.196746370519364,100.0,0.0,93.05555555555554,5.196746370519364,100.0,0.0,93.05555555555554,5.196746370519364,98.47328244274809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,22,2,131,2,129,24,22,2,131,0,131,22,2,0,131,22,2,2,129,0,0,0,0,0,0,0,0
workspace,0.9,3,21,97.22222222222223,1.964185503295961,98.47328244274809,0.0,97.22222222222223,1.964185503295961,100.0,0.0,97.22222222222223,1.964185503295961,100.0,0.0,97.22222222222223,1.964185503295961,98.47328244274809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,23,1,131,2,129,24,23,1,131,0,131,23,1,0,131,23,1,2,129,0,0,0,0,0,0,0,0
workspace,1.0,3,24,100.0,0.0,98.47328244274809,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.47328244274809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24,24,0,131,2,129,24,24,0,131,0,131,24,0,0,131,24,0,2,129,0,0,0,0,0,0,0,0
slack,0.1,3,1,12.280701754385964,2.4810764252159565,98.989898989899,1.4210854715202004e-14,12.280701754385964,2.4810764252159565,98.989898989899,1.4210854715202004e-14,12.280701754385964,2.4810764252159565,98.989898989899,1.4210854715202004e-14,12.280701754385964,2.4810764252159565,98.989898989899,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,19,2,17,99,1,98,19,2,17,99,1,98,2,17,1,98,2,17,1,98,0,0,0,0,0,0,0,0
slack,0.2,3,3,26.31578947368421,7.443229275647868,96.2962962962963,1.9046647304688153,24.561403508771928,8.945648269461024,96.63299663299664,1.7168415870682783,24.561403508771928,8.945648269461024,96.63299663299664,1.7168415870682783,26.31578947368421,7.443229275647868,96.2962962962963,1.9046647304688153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,19,5,14,99,4,95,19,5,14,99,3,96,5,14,3,96,5,14,4,95,0,0,0,0,0,0,0,0
