agent,training_fraction,training_samples,threshold,utility_success_rate,utility_tn,utility_fp,attack_blocking_rate,attack_tp,attack_fn,utility_ambiguous_pct,utility_ambiguous_pct_std,utility_wrong_pct,utility_wrong_pct_std,attack_ambiguous_pct,attack_ambiguous_pct_std,attack_wrong_pct,attack_wrong_pct_std
banking,0.5,103,1.0,81.71521035598704,168,38,66.76434676434677,911,454,56.93430656934307,2.38393162314665,8.394160583941606,2.383931623146645,47.00854700854702,1.0919992373324001,0.0,0.0
banking,0.6,123,1.0,87.70226537216827,181,25,63.46764346764346,866,499,60.705596107055975,0.9579085004880553,4.622871046228711,0.9579085004880551,49.73942047112778,1.87640421983166,0.0,0.0
banking,0.7,144,1.0,91.90938511326861,189,17,58.33943833943834,796,569,62.28710462287105,1.2043181188091998,3.041362530413625,1.2043181188092047,54.42985199082759,1.8199721981002392,0.0,0.0
banking,0.8,164,1.0,94.33656957928802,194,12,56.971916971916976,778,587,63.38199513381994,0.17204544554417475,1.9464720194647203,0.17204544554417225,55.76401917865332,1.6674483848923252,0.0,0.0
banking,0.9,185,1.0,97.24919093851133,200,6,54.57875457875458,745,620,64.23357664233576,0.0,1.094890510948905,0.0,57.8695017719408,2.4511989268023653,0.0,0.0
banking,1.0,206,1.0,100.0,206,0,51.7948717948718,707,658,65.32846715328468,0.0,0.0,0.0,60.913070669168235,0.0,0.0,0.0
slack,0.5,146,1.0,91.01251422070534,267,26,45.812644819596166,461,546,66.38560989319843,0.5564640211698512,3.59752670039348,0.5564640211698522,61.10615521855487,3.4155557036711204,0.0,0.0
slack,0.6,175,1.0,94.08418657565414,276,17,44.81959616021186,451,556,67.73468240584599,0.07949486016712323,2.2484541877459248,0.07949486016712157,63.484983645554564,1.9137190496228544,0.0,0.0
slack,0.7,205,1.0,95.90443686006826,281,12,42.10526315789473,424,583,68.74648679033164,0.5732455889367989,1.2366498032602584,0.5732455889367943,65.41778174249181,0.6108426578701815,0.0,0.0
slack,0.8,234,1.0,97.83845278725825,287,6,38.43098311817279,387,620,69.19617762788083,0.6359588813369725,0.7869589657110736,0.6359588813369735,67.20190306274161,0.7439783528514298,0.0,0.0
slack,0.9,263,1.0,99.08987485779295,290,3,37.007613373055285,373,634,69.58965711073637,0.44260864946665796,0.3934794828555368,0.44260864946665607,68.95628902765388,0.9853132040309768,0.0,0.0
slack,1.0,293,1.0,100.0,293,0,36.34558093346574,366,641,69.98313659359191,0.0,0.0,0.0,70.11596788581623,0.0,0.0,0.0
travel,0.5,258,1.0,84.01031592520955,434,83,82.06071757129715,892,195,20.79160705770148,0.5762062934475236,2.6704816404387217,0.5762062934475236,20.729837473167738,0.980335318193547,0.0,0.0
travel,0.6,310,1.0,88.65248226950354,458,59,80.34345292854952,873,214,21.316165951359086,0.5352871797959861,2.1459227467811157,0.5352871797959858,22.539098436062556,1.2410982118888734,0.0,0.0
travel,0.7,361,1.0,91.74725983236623,474,43,78.8101809260963,857,230,22.317596566523605,0.20231953682018644,1.1444921316165952,0.20231953682018528,24.471021159153633,0.739793810598885,0.0,0.0
travel,0.8,413,1.0,94.32624113475178,488,29,76.35694572217112,830,257,22.937529804482594,0.24315782134443278,0.5245588936576061,0.2431578213444342,27.6295614842073,1.3485822402512122,0.0,0.0
travel,0.9,465,1.0,97.0341715022566,502,15,75.92762956148421,825,262,23.12827849308536,0.06743984560672714,0.3338102050548402,0.06743984560672844,28.212204845139524,0.889826318831457,0.0,0.0
travel,1.0,517,1.0,100.0,517,0,75.06899724011039,816,271,23.462088698140203,0.0,0.0,0.0,29.070837166513343,0.0,0.0,0.0
workspace,0.5,219,1.0,80.63781321184511,354,85,78.35259585397175,1424,393,46.23287671232877,1.677732700536422,5.47945205479452,1.6777327005364235,14.270122783083218,1.4956300092724186,0.0,0.0
workspace,0.6,263,1.0,84.88990129081246,373,66,77.01339203815813,1399,418,47.88812785388128,1.4685708139576026,3.824200913242009,1.4685708139576035,15.698044565711688,1.1645207507171795,0.0,0.0
workspace,0.7,307,1.0,89.29384965831434,392,47,75.69253348009539,1375,442,49.20091324200913,0.9309079012728371,2.5114155251141552,0.9309079012728363,16.507503410641203,0.6753643734692845,0.0,0.0
workspace,0.8,351,1.0,94.07744874715263,413,26,74.2799486332783,1350,467,50.39954337899544,0.7037002286494268,1.3127853881278537,0.7037002286494264,17.21691678035471,0.39034586146202627,0.0,0.0
workspace,0.9,395,1.0,96.88686408504175,425,14,73.52779306549257,1336,481,51.08447488584475,0.49100030063028427,0.6278538812785387,0.4910003006302869,17.69895407003183,0.23612105476575135,0.0,0.0
workspace,1.0,439,1.0,100.0,439,0,72.97743533296642,1326,491,51.71232876712329,7.105427357601002e-15,0.0,0.0,18.00818553888131,0.0,0.0,0.0
