agent,training_fraction,training_samples,threshold,utility_success_rate_or,utility_tn_or,utility_fp_or,attack_blocking_rate_or,attack_tp_or,attack_fn_or
banking,0.5,103,1.0,77.83171521035598,160,46,90.8913308913309,1241,124
banking,0.6,123,1.0,83.49514563106796,172,34,90.28083028083029,1232,133
banking,0.7,144,1.0,87.70226537216827,181,25,88.42490842490844,1207,158
banking,0.8,164,1.0,89.96763754045308,185,21,87.83882783882784,1199,166
banking,0.9,185,1.0,93.042071197411,192,14,87.71672771672773,1197,168
banking,1.0,206,1.0,94.98381877022655,196,10,87.57020757020757,1195,170
slack,0.5,146,1.0,83.50398179749715,245,48,84.17742469381,848,159
slack,0.6,175,1.0,87.03071672354947,255,38,84.57464415756372,852,155
slack,0.7,205,1.0,88.05460750853244,258,35,82.82025819265145,834,173
slack,0.8,234,1.0,89.64732650739477,263,30,82.88646143661039,835,172
slack,0.9,263,1.0,91.35381114903299,268,25,82.025819265144,826,181
slack,1.0,293,1.0,92.03640500568828,270,23,81.69480304534922,823,184
travel,0.5,258,1.0,81.04448742746614,419,98,98.43606255749769,1070,17
travel,0.6,310,1.0,85.17085751128305,440,77,98.52805887764491,1071,16
travel,0.7,361,1.0,88.33010960670534,457,60,98.43606255749769,1070,17
travel,0.8,413,1.0,90.90909090909092,470,47,98.19073903710519,1067,20
travel,0.9,465,1.0,93.23017408123792,482,35,97.51609935602578,1060,27
travel,1.0,517,1.0,96.64732430689878,500,17,97.94541551671267,1065,22
workspace,0.5,219,1.0,74.4874715261959,327,112,97.28490185287103,1768,49
workspace,0.6,263,1.0,77.52467729688686,340,99,96.9913777288571,1762,55
workspace,0.7,307,1.0,82.53606681852695,362,77,96.93634195560448,1761,56
workspace,0.8,351,1.0,86.63629460895976,380,59,96.75288937809576,1758,59
workspace,0.9,395,1.0,89.52164009111618,393,46,96.64281783159053,1756,61
workspace,1.0,439,1.0,92.6347760060744,407,32,96.69785360484315,1757,60
