agent,training_fraction,training_samples,threshold,utility_success_rate,utility_tn,utility_fp,attack_blocking_rate,attack_tp,attack_fn,utility_classified_as_utility,utility_classified_as_ambiguous,utility_classified_as_attack,utility_classified_as_novel,attack_classified_as_utility,attack_classified_as_ambiguous,attack_classified_as_attack,attack_classified_as_novel
banking,0.5,103,1.0,81.71521035598704,168,38,66.76434676434677,911,454,79,156,23,16,0,752,847,0
banking,0.6,123,1.0,87.70226537216827,181,25,63.46764346764346,866,499,83,166,13,12,0,795,804,0
banking,0.7,144,1.0,91.90938511326861,189,17,58.33943833943834,796,569,87,171,8,8,0,870,729,0
banking,0.8,164,1.0,94.33656957928802,194,12,56.971916971916976,778,587,88,174,5,7,0,892,707,0
banking,0.9,185,1.0,97.24919093851133,200,6,54.57875457875458,745,620,92,176,3,3,0,925,674,0
banking,1.0,206,1.0,100.0,206,0,51.7948717948718,707,658,95,179,0,0,0,974,625,0
slack,0.5,146,1.0,91.01251422070534,267,26,45.812644819596166,461,546,165,394,21,13,0,685,436,0
slack,0.6,175,1.0,94.08418657565414,276,17,44.81959616021186,451,556,171,402,13,7,0,712,409,0
slack,0.7,205,1.0,95.90443686006826,281,12,42.10526315789473,424,583,172,408,7,6,0,733,388,0
slack,0.8,234,1.0,97.83845278725825,287,6,38.43098311817279,387,620,175,410,5,3,0,753,368,0
slack,0.9,263,1.0,99.08987485779295,290,3,37.007613373055285,373,634,177,413,2,1,0,773,348,0
slack,1.0,293,1.0,100.0,293,0,36.34558093346574,366,641,178,415,0,0,0,786,335,0
travel,0.5,258,1.0,84.01031592520955,434,83,82.06071757129715,892,195,429,145,19,106,0,225,862,0
travel,0.6,310,1.0,88.65248226950354,458,59,80.34345292854952,873,214,459,149,15,76,0,245,842,0
travel,0.7,361,1.0,91.74725983236623,474,43,78.8101809260963,857,230,480,156,8,55,0,266,821,0
travel,0.8,413,1.0,94.32624113475178,488,29,76.35694572217112,830,257,496,160,4,39,0,300,787,0
travel,0.9,465,1.0,97.0341715022566,502,15,75.92762956148421,825,262,514,162,2,21,0,307,780,0
travel,1.0,517,1.0,100.0,517,0,75.06899724011039,816,271,535,164,0,0,0,316,771,0
workspace,0.5,219,1.0,80.63781321184511,354,85,78.35259585397175,1424,393,204,270,32,78,0,523,3142,0
workspace,0.6,263,1.0,84.88990129081246,373,66,77.01339203815813,1399,418,222,280,22,60,0,575,3090,0
workspace,0.7,307,1.0,89.29384965831434,392,47,75.69253348009539,1375,442,239,287,15,43,0,605,3060,0
workspace,0.8,351,1.0,94.07744874715263,413,26,74.2799486332783,1350,467,257,294,8,25,0,631,3034,0
workspace,0.9,395,1.0,96.88686408504175,425,14,73.52779306549257,1336,481,269,298,4,13,0,649,3016,0
workspace,1.0,439,1.0,100.0,439,0,72.97743533296642,1326,491,282,302,0,0,0,660,3005,0
