agent,training_fraction,training_samples,threshold,utility_success_rate_or,utility_tn_or,utility_fp_or,attack_blocking_rate_or,attack_tp_or,attack_fn_or
banking,0.5,103,1.0,76.31257631257631,1042,323,90.8913308913309,1241,124
banking,0.6,123,1.0,83.46764346764347,1139,226,90.28083028083029,1232,133
banking,0.7,144,1.0,87.66788766788767,1197,168,88.42490842490844,1207,158
banking,0.8,164,1.0,89.76800976800978,1225,140,87.83882783882784,1199,166
banking,0.9,185,1.0,93.01587301587301,1270,95,87.71672771672773,1197,168
banking,1.0,206,1.0,94.5054945054945,1290,75,87.57020757020757,1195,170
slack,0.5,146,1.0,82.19132737504138,828,179,84.17742469381,848,159
slack,0.6,175,1.0,86.36213174445548,870,137,84.57464415756372,852,155
slack,0.7,205,1.0,87.09036742800397,877,130,82.82025819265145,834,173
slack,0.8,234,1.0,89.04336312479312,897,110,82.88646143661039,835,172
slack,0.9,263,1.0,89.937106918239,906,101,82.025819265144,826,181
slack,1.0,293,1.0,91.59218801721285,922,85,81.69480304534922,823,184
travel,0.5,258,1.0,80.98742716957989,880,207,98.43606255749769,1070,17
travel,0.6,310,1.0,84.20729837473168,915,172,98.52805887764491,1071,16
travel,0.7,361,1.0,88.74578350199324,965,122,98.43606255749769,1070,17
travel,0.8,413,1.0,90.4323827046918,983,104,98.19073903710519,1067,20
travel,0.9,465,1.0,94.05090463048145,1022,65,97.51609935602578,1060,27
travel,1.0,517,1.0,96.32014719411224,1047,40,97.94541551671267,1065,22
workspace,0.5,219,1.0,74.77527059255183,1359,458,97.28490185287103,1768,49
workspace,0.6,263,1.0,77.21518987341771,1403,414,96.9913777288571,1762,55
workspace,0.7,307,1.0,83.2507796734544,1513,304,96.93634195560448,1761,56
workspace,0.8,351,1.0,86.93817648137957,1580,237,96.75288937809576,1758,59
workspace,0.9,395,1.0,88.93780957622455,1616,201,96.64281783159053,1756,61
workspace,1.0,439,1.0,93.0654925701706,1691,126,96.69785360484315,1757,60
