agent,training_fraction,training_samples,threshold,utility_success_rate,utility_tn,utility_fp,attack_blocking_rate,attack_tp,attack_fn,utility_classified_as_utility,utility_classified_as_ambiguous,utility_classified_as_attack,utility_classified_as_novel,attack_classified_as_utility,attack_classified_as_ambiguous,attack_classified_as_attack,attack_classified_as_novel
banking,0.5,103,1.0,80.75702075702075,1102,263,66.76434676434677,911,454,537,1026,163,104,0,752,847,0
banking,0.6,123,1.0,88.22954822954823,1204,161,63.46764346764346,866,499,561,1115,81,78,0,795,804,0
banking,0.7,144,1.0,92.11233211233211,1257,108,58.33943833943834,796,569,582,1125,55,52,0,870,729,0
banking,0.8,164,1.0,94.2124542124542,1286,79,56.971916971916976,778,587,580,1149,38,43,0,892,707,0
banking,0.9,185,1.0,97.11843711843711,1326,39,54.57875457875458,745,620,621,1147,20,19,0,925,674,0
banking,1.0,206,1.0,100.0,1365,0,51.7948717948718,707,658,646,1203,0,0,0,974,625,0
slack,0.5,146,1.0,90.83085071168487,915,92,45.812644819596166,461,546,577,1379,76,41,0,685,436,0
slack,0.6,175,1.0,94.20721615359152,949,58,44.81959616021186,451,556,595,1357,38,26,0,712,409,0
slack,0.7,205,1.0,95.53128103277061,962,45,42.10526315789473,424,583,637,1426,28,27,0,733,388,0
slack,0.8,234,1.0,98.01390268123139,987,20,38.43098311817279,387,620,586,1442,15,9,0,753,368,0
slack,0.9,263,1.0,99.07315458457465,998,9,37.007613373055285,373,634,563,1429,10,3,0,773,348,0
slack,1.0,293,1.0,100.0,1007,0,36.34558093346574,366,641,626,1417,0,0,0,786,335,0
travel,0.5,258,1.0,84.17663293468262,915,172,82.06071757129715,892,195,939,292,39,229,0,225,862,0
travel,0.6,310,1.0,87.79515486047224,954,133,80.34345292854952,873,214,947,327,37,168,0,245,842,0
travel,0.7,361,1.0,92.36430542778288,1004,83,78.8101809260963,857,230,1040,331,17,101,0,266,821,0
travel,0.8,413,1.0,93.836246550138,1020,67,76.35694572217112,830,257,1039,342,11,79,0,300,787,0
travel,0.9,465,1.0,97.3934375958295,1059,28,75.92762956148421,825,262,1090,335,5,39,0,307,780,0
travel,1.0,517,1.0,100.0,1087,0,75.06899724011039,816,271,1149,333,0,0,0,316,771,0
workspace,0.5,219,1.0,80.55402678407631,1464,353,78.35259585397175,1424,393,838,1105,143,318,0,523,3142,0
workspace,0.6,263,1.0,84.3514951385067,1533,284,77.01339203815813,1399,418,935,1166,104,248,0,575,3090,0
workspace,0.7,307,1.0,89.9284534947716,1634,183,75.69253348009539,1375,442,1001,1210,58,170,0,605,3060,0
workspace,0.8,351,1.0,93.81764813795634,1705,112,74.2799486332783,1350,467,1079,1207,35,106,0,631,3034,0
workspace,0.9,395,1.0,96.27591267657311,1749,68,73.52779306549257,1336,481,1110,1220,14,67,0,649,3016,0
workspace,1.0,439,1.0,100.0,1817,0,72.97743533296642,1326,491,1175,1280,0,0,0,660,3005,0
